,تعداد نمونه ها,مقدار واقعی انتگرال,مقدار انتگرال با نمونه گیری ساده,مقدار انتگرال با نمونه گیری هوشمند,خطای آماری نمونه گیری ساده,خطای آماری نمونه گیری هوشمند,خطای واقعی نمونه گیری ساده,خطای واقعی نمونه گیری هوشمند,زمان اجرای نمونه گیری ساده,زمان اجرای نمونه گیری هوشمند
0,100,0.8820813907624215,0.7814252463369314,0.8792729071752758,0.033303780926466506,0.028750171728638325,11.41120824899033,0.3183927941976192,8.14999998510757e-05,5.579999969995697e-05
1,1100,0.8820813907624215,0.868855636311065,0.8950394624423323,0.010349619512105841,0.007785463118022434,1.4993802828019014,1.4690335626183635,4.7900000026857015e-05,0.00013920000037614955
2,2100,0.8820813907624215,0.91133930457948,0.8786814615003966,0.007567511757170344,0.005861985650051941,3.3169177043594074,0.3854439394856996,0.0001216000000567874,0.0002102999997077859
3,3100,0.8820813907624215,0.9071931362415628,0.8872674577967177,0.006243363908789149,0.004714712482651867,2.8468739667476854,0.5879352051417379,0.0001868999997896026,0.00018899999986388138
4,4100,0.8820813907624215,0.8682678230605553,0.8812084914425047,0.005355463841150127,0.004174408152039876,1.5660196265932544,0.09895904494282191,0.00011110000014014076,0.00020240000003468595
5,5100,0.8820813907624215,0.868586388389692,0.8815508259870519,0.004783615337724232,0.0037526513860544086,1.5299044412517502,0.06014918588306489,0.0001409000001331151,0.00024470000016663107
6,6100,0.8820813907624215,0.8822649726776909,0.8832203313255285,0.004390578898825608,0.003411626573524664,0.02081235554812812,0.12911966798466193,0.00014259999989008065,0.00027929999987463816
7,7100,0.8820813907624215,0.8824199885049432,0.8801399100230275,0.004070546593170526,0.0031619209810193694,0.038386224453617196,0.22010222182739111,0.00016449999975520768,0.00031880000005912734
8,8100,0.8820813907624215,0.8731471650029979,0.884637935239762,0.0038211110026242587,0.002956565103599473,1.0128573001297936,0.289830904961129,0.00017729999990478973,0.00035819999993691454
9,9100,0.8820813907624215,0.8851439162935516,0.8813181910257895,0.0035993398426602953,0.0028171169005559715,0.3471930780087076,0.0865225980986192,0.00019629999997050618,0.0003986000001532375
10,10100,0.8820813907624215,0.8786070755622312,0.8778261799402624,0.0034385710590478435,0.0026759293421951503,0.3938769411275492,0.482405690304975,0.00022009999975125538,0.0004451999998309475
11,11100,0.8820813907624215,0.8818257950639875,0.883845659347332,0.003256780366412759,0.0025205850399843332,0.02897643019235534,0.20001199474183176,0.00023849999979574932,0.0004862999999204476
12,12100,0.8820813907624215,0.865083560574947,0.8807624121466121,0.003126309162207344,0.002430086457100158,1.9270138068305256,0.14953026213027562,0.0006531999997605453,0.000978400000349211
13,13100,0.8820813907624215,0.8877817791814071,0.8788448846430555,0.0030194269813170285,0.0023367909226383646,0.6462429066844357,0.36691694817056913,0.0005495000000337313,0.001046899999892048
14,14100,0.8820813907624215,0.8811457539185916,0.8812203912198173,0.0029047814085067726,0.002243244829202919,0.1060714865576294,0.09760998833225731,0.0005850000002283195,0.0007569999997940613
15,15100,0.8820813907624215,0.8868729916401695,0.8834302909570901,0.002812501888248303,0.0021757964829108825,0.543215277856208,0.15292241836126794,0.000591099999837752,0.0010185000001001754
16,16100,0.8820813907624215,0.8912614062557707,0.8810859886690109,0.002707397073552299,0.002105831387338884,1.04072204554893,0.11284696671247957,0.00038180000001375447,0.0007174000002123648
17,17100,0.8820813907624215,0.8737649483584223,0.8840343240500736,0.002637044971729194,0.0020088070340304473,0.942820298794756,0.2214005768746701,0.0004125999998905172,0.0008282999997391016
18,18100,0.8820813907624215,0.8858132460483134,0.8811237968896308,0.0025757263154556564,0.001989200322966987,0.4230738030496495,0.10856071591795141,0.0006379999999808206,0.0012595000002875167
19,19100,0.8820813907624215,0.8793314130604063,0.8796571439516662,0.002498896064484313,0.0019375550933186112,0.31176008595287474,0.27483255356515207,0.000659799999993993,0.0016600999997535837
20,20100,0.8820813907624215,0.8761881482987119,0.8789952991806288,0.0024302788079501305,0.0018866517459202243,0.6681064270742413,0.3498647193004825,0.0007031000000097265,0.0014001999998072279
21,21100,0.8820813907624215,0.8814802031494028,0.8834252548777349,0.0023692257295096397,0.0018271466846188956,0.06815557150560869,0.15235148699280882,0.0007199000001492095,0.0014871000003040535
22,22100,0.8820813907624215,0.8774832105196881,0.8801585848689114,0.0023119861212161207,0.0018004938496080623,0.5212875241318704,0.21798508773075478,0.0007633999998688523,0.00152669999988575
23,23100,0.8820813907624215,0.8806566005487909,0.880399652327412,0.0022724084215101693,0.001758069772458328,0.16152593497059423,0.19065569828606366,0.0014212000000952685,0.003625499999998283
24,24100,0.8820813907624215,0.8830520248448787,0.8801318564950856,0.00221390439283172,0.0017292787293014375,0.11003906131815805,0.22101523598075665,0.000848899999709829,0.0016777000000729458
25,25100,0.8820813907624215,0.8812343717158784,0.8817118110191016,0.0021653405335280173,0.0016789679213775727,0.09602504433417954,0.041898598835706756,0.000926799999888317,0.0021537000002354034
26,26100,0.8820813907624215,0.8791491353650894,0.8815632186683563,0.002128643997931338,0.0016403272373074272,0.33242458440231115,0.05874424962274288,0.0008950000001277658,0.0017987999999604654
27,27100,0.8820813907624215,0.8802370120562691,0.8838737943591803,0.0020980867153077036,0.0016075151050218587,0.2090939368484145,0.20320161104516152,0.0009162000001197157,0.0018586999999570253
28,28100,0.8820813907624215,0.8840087924215805,0.8805906506266394,0.0020569183915225076,0.0015928310295735067,0.21850610151666472,0.16900256046594367,0.0009881000000859785,0.0024637999999868043
