,نرخ قبولی,طول قدم
0,0.9718172983479106,0.1
1,0.9398496240601504,0.2
2,0.9233610341643582,0.30000000000000004
3,0.8818342151675485,0.4
4,0.8733624454148472,0.5
5,0.8340283569641368,0.6
6,0.8025682182985554,0.7000000000000001
7,0.7993605115907274,0.8
8,0.7473841554559043,0.9
9,0.7331378299120235,1.0
10,0.7158196134574087,1.1
11,0.6821282401091405,1.2000000000000002
12,0.6531678641410843,1.3000000000000003
13,0.6397952655150352,1.4000000000000001
14,0.6064281382656155,1.5000000000000002
15,0.5906674542232723,1.6
16,0.5724098454493417,1.7000000000000002
17,0.5757052389176741,1.8000000000000003
18,0.5422993492407809,1.9000000000000001
19,0.510986203372509,2.0
20,0.51440329218107,2.1
21,0.46511627906976744,2.2
22,0.46860356138706655,2.3000000000000003
23,0.4508566275924256,2.4000000000000004
24,0.4299226139294927,2.5000000000000004
25,0.4286326618088298,2.6
26,0.400320256204964,2.7
27,0.38880248833592534,2.8000000000000003
28,0.3878975950349108,2.9000000000000004
29,0.3849114703618168,3.0000000000000004
30,0.35498757543485976,3.1
31,0.34447123665173957,3.2
32,0.3286230693394676,3.3000000000000003
33,0.31959092361776925,3.4000000000000004
34,0.33277870216306155,3.5000000000000004
35,0.3050640634533252,3.6
36,0.30349013657056145,3.7
37,0.2880184331797235,3.8000000000000003
38,0.27770063871146905,3.9000000000000004
39,0.2686005909213,4.0
40,0.28169014084507044,4.1
41,0.26109660574412535,4.2
42,0.2674511901577962,4.3
43,0.26089225150013046,4.3999999999999995
44,0.24148756339048538,4.5
45,0.25265285497726125,4.6
46,0.2346866932644919,4.7
47,0.22361359570661896,4.8
48,0.24330900243309003,4.9
49,0.22925263640531865,5.0
50,0.2244668911335578,5.1
51,0.21781746896101067,5.2
52,0.2012072434607646,5.3
53,0.20911752404851527,5.4
54,0.20820320632937747,5.5
55,0.20876826722338204,5.6
56,0.20610057708161583,5.7
57,0.18556318426424198,5.8
58,0.18832391713747645,5.9
59,0.1852537977028529,6.0
60,0.18234865061998543,6.1
61,0.17494751574527642,6.2
62,0.1841620626151013,6.3
63,0.17406440382941687,6.4
64,0.17708517797060386,6.5
65,0.16894745734076702,6.6
66,0.16992353440951571,6.7
67,0.16539861065167052,6.8
68,0.1693480101608806,6.9
69,0.14699397324709687,7.0
70,0.16199578810950915,7.1
71,0.15482272797646696,7.2
72,0.1501726986033939,7.3
73,0.14607069821793747,7.4
74,0.15278838808250572,7.5
75,0.15335071308081583,7.6
76,0.14914243102162567,7.7
77,0.14838996883810654,7.8
78,0.1443001443001443,7.9
79,0.13976240391334732,8.0
80,0.14553922282055015,8.1
81,0.14448779078167895,8.2
82,0.14122299110295156,8.3
83,0.13460761879122357,8.4
84,0.1350621285791464,8.5
85,0.1365374112506827,8.6
86,0.13581420616596496,8.7
87,0.13354700854700854,8.8
88,0.11956001912960305,8.9
89,0.1278118609406953,9.0
90,0.12608750472828142,9.1
91,0.1148105625717566,9.2
92,0.12020675561966583,9.3
93,0.12241400416207614,9.4
94,0.11690437222352117,9.5
95,0.11957431543704412,9.6
96,0.10997470581766194,9.700000000000001
97,0.10973334796444639,9.8
98,0.11203226529240422,9.9
99,0.11604966925844261,10.0
100,0.10931351114997814,10.1
101,0.10726161106939826,10.200000000000001
102,0.11277771512349159,10.3
103,0.10831889081455806,10.4
104,0.10144045445323595,10.5
105,0.10933741526350317,10.6
106,0.10905125408942203,10.700000000000001
107,0.10456969570218551,10.8
108,0.10574177857671566,10.9
109,0.09653441451877594,11.0
110,0.10695187165775401,11.1
111,0.10055304172951232,11.200000000000001
112,0.10204081632653061,11.3
113,0.10031096398836392,11.4
114,0.10074551682450131,11.5
115,0.09861932938856016,11.6
116,0.09573958831977022,11.700000000000001
117,0.09297136481963555,11.8
118,0.09966115208291808,11.9
119,0.09626492106276473,12.0
120,0.09541984732824428,12.1
121,0.09216589861751152,12.200000000000001
122,0.09155832265152902,12.3
123,0.09192866335723479,12.4
124,0.09840582562487699,12.5
125,0.0896780557797507,12.6
126,0.09026085386767758,12.700000000000001
127,0.08798169980644026,12.8
128,0.08782715615668364,12.9
129,0.08977466558937068,13.0
130,0.0865276455827637,13.1
131,0.08599931200550395,13.200000000000001
132,0.08700191404210893,13.3
133,0.08542627712284298,13.4
134,0.08533151292772422,13.5
135,0.07928327915642591,13.6
136,0.08421052631578947,13.700000000000001
137,0.08558712769599452,13.8
138,0.08059966148142178,13.9
139,0.08276775368316504,14.0
140,0.07980845969672785,14.1
141,0.07638252367858234,14.200000000000001
142,0.07891414141414141,14.3
143,0.0736105999263894,14.4
144,0.07553440592189742,14.5
145,0.07638252367858234,14.6
146,0.07531254707034192,14.700000000000001
147,0.0747328301322771,14.8
148,0.07338910905621605,14.9
